rawDate,date,rate,spending,quarter,year
"October 2019",10/1/19,1.1,327,Q4,2019
"January 2020",1/1/20,3.1,335,Q1,2020
"April 2020",4/1/20,1.8,331,Q2,2020
"July 2020",7/1/20,1.5,332,Q3,2020
"October 2020",10/1/20,2.7,336,Q4,2020
"January 2021",1/1/21,4.5,350,Q1,2021
"April 2021",4/1/21,5.4,350,Q2,2021
"July 2021",7/1/21,7.2,355,Q3,2021
"October 2021",10/1/21,9.2,367,Q4,2021
"January 2022",1/1/22,11.6,390,Q1,2022
"April 2022",4/1/22,15.9,405,Q2,2022
"July 2022",7/1/22,17.3,417,Q3,2022
"October 2022",10/1/22,17.4,431,Q4,2022
"January 2023",1/1/23,14.9,448,Q1,2023
"April 2023",4/1/23,10.1,446,Q2,2023
